,PARP1
ACH-000017,-0.34363423478
ACH-000019,-0.0770763866369
ACH-000028,0.0446861515931
ACH-000044,-0.443624686755
ACH-000097,-0.0297588388687
ACH-000111,-0.0728855438276
ACH-000117,-0.0551599014454
ACH-000147,-0.19335889338399997
ACH-000148,0.11704315520099999
ACH-000196,-0.10887838927200001
ACH-000212,0.0577306318613
ACH-000223,-0.20851913723499998
ACH-000248,-0.279313398302
ACH-000258,0.185215961433
ACH-000276,-0.197675550926
ACH-000277,0.013195086984000001
ACH-000288,-0.034982316813699996
ACH-000330,-0.0786532780254
ACH-000349,-0.201137657592
ACH-000352,0.0364205024147
ACH-000374,-0.142744573314
ACH-000536,-0.27326500523499997
ACH-000554,0.11215907142100001
ACH-000568,-0.0646011417224
ACH-000573,-0.16466764055400002
ACH-000621,0.08020584555369999
ACH-000624,-0.08642978264119999
ACH-000643,-0.07994692931389999
ACH-000668,-0.00202692562127
ACH-000699,0.123045676985
ACH-000711,0.0323022942963
ACH-000721,-0.0030837288708000002
ACH-000725,-0.09488802164830001
ACH-000755,0.0901622280438
ACH-000759,0.0557390511391
ACH-000768,0.0038037529142899997
ACH-000783,-0.0481845119403
ACH-000818,0.13479407724
ACH-000828,-0.0425110955552
ACH-000849,0.014218281619599999
ACH-000856,0.0677434616602
ACH-000857,0.11282443046900001
ACH-000859,-0.000762013695609
ACH-000876,-0.0785127659178
ACH-000902,-0.006053046573020001
ACH-000910,0.0205453076997
ACH-000927,0.00218382135689
ACH-000930,-0.20088031388799998
ACH-000934,-0.011476777152200001
ACH-001065,0.0890412029332
ACH-001249,-0.030658586688799998
ACH-001357,0.100398604915
ACH-001358,0.0662433786093
ACH-001388,-0.125019098981
ACH-001389,0.0412616627625
ACH-001390,0.022283545139700003
ACH-001391,-0.102558131442
ACH-001392,-0.11162782099000002
ACH-001393,-0.596351423306
ACH-001394,0.093811500782
ACH-001395,-0.10237401247099999
ACH-001396,-0.14470310394000002
ACH-001397,-0.34869540609800004
ACH-001514,0.0595528976897
ACH-001819,0.07541075952580001
ACH-002179,0.168695626611
ACH-002320,-0.07333031999680001
ACH-002321,0.0168961546198
ACH-002322,-0.16866795966899997
ACH-002323,-0.106076203935
ACH-002324,-0.0245398890725
ACH-002326,-0.0277254857798
ACH-002327,-0.073539983081
ACH-002328,0.00224422697936
ACH-002329,-0.544661758518
ACH-002330,0.00790914869243
ACH-002331,0.085924389341
