Feature,Gain,Cover,Frequency
`Damaging Mutations TP53`,0.122626501766033,0.173407301360057,0.12719298245614
`Expression Public 25Q3 CREBBP`,0.053143934630553,0.0758967629046369,0.0592105263157895
`Expression Public 25Q3 TCF7L2`,0.0496523741266269,0.00403642726477372,0.00365497076023392
`Expression Public 25Q3 FOXO3`,0.0424571563301137,0.000914658394973356,0.00146198830409357
`Expression Public 25Q3 PRDM5`,0.0370468327448441,0.00308200111349718,0.00292397660818713
`Expression Public 25Q3 CD40`,0.0368815628222605,0.00829157718921499,0.00730994152046784
`Expression Public 25Q3 TBL1X`,0.0356313152973273,0.0114332299371669,0.0109649122807018
`Omics Absolute CN Gene Public 24Q4 SETD1B`,0.032613042780182,0.0011134971764893,0.000730994152046784
`Expression Public 25Q3 SMARCE1`,0.0287343609379422,0.0103595005169808,0.0109649122807018
`Expression Public 25Q3 FADD`,0.0260050558612934,0.0135608048993876,0.0109649122807018
`Expression Public 25Q3 KIT`,0.0234570075864842,0.00238606537819136,0.00365497076023392
`Expression Public 25Q3 RAD51C`,0.0211072529538226,0.00316153662610356,0.00365497076023392
`Expression Public 25Q3 COL4A2`,0.0191552135569634,0.00944484212200748,0.00804093567251462
`Expression Public 25Q3 PDGFRB`,0.01857696671415,0.00509027280680824,0.0043859649122807
`Expression Public 25Q3 BCL6`,0.0171119276557269,0.00620376998329754,0.00657894736842105
`Expression Public 25Q3 GNAS`,0.016546815802394,0.0078740157480315,0.00657894736842105
`Omics Absolute CN Gene Public 24Q4 NOTCH1`,0.0160821731157614,0.00141175534876322,0.00146198830409357
`Expression Public 25Q3 PRKCD`,0.0157156540619934,0.0141175534876322,0.0124269005847953
`Expression Public 25Q3 PTPRD`,0.0155556572254029,0.00528911158832419,0.00657894736842105
`Expression Public 25Q3 RASSF1`,0.0147991381707028,0.00815239004215382,0.0087719298245614
`Expression Public 25Q3 ETV5`,0.0146683912468795,0.0026246719160105,0.00292397660818713
`Expression Public 25Q3 BRCA1`,0.0145290420922638,0.0288316233198123,0.0226608187134503
`Omics Absolute CN Gene Public 24Q4 PBRM1`,0.0137325174262145,0.00105384554203452,0.000730994152046784
`Expression Public 25Q3 MAML2`,0.0105598994703808,0.00660144754632944,0.00511695906432749
`Omics Absolute CN Gene Public 24Q4 MET`,0.0104579356806308,0.00242583313449455,0.00219298245614035
`Expression Public 25Q3 IRS1`,0.0102463277873596,0.00135210371430844,0.00219298245614035
`Expression Public 25Q3 CTNNB1`,0.00890824671348669,0.000397677563031894,0.000730994152046784
`Expression Public 25Q3 NOTCH1`,0.00850812192183313,0.00739680267239322,0.00657894736842105
`Omics Absolute CN Gene Public 24Q4 XRCC2`,0.00834338396399539,0.00101407778573133,0.000730994152046784
`Expression Public 25Q3 STAT5B`,0.00832012592984845,0.00409607889922851,0.00365497076023392
`Expression Public 25Q3 ETV1`,0.00781031629339133,0.0224488984331504,0.0190058479532164
`Omics Absolute CN Gene Public 24Q4 ERG`,0.007713398602489,0.00284339457567804,0.00292397660818713
`Expression Public 25Q3 COL1A1`,0.00692368704291163,0.00393700787401575,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 KRAS`,0.00643987034469434,0.00159071025212758,0.00146198830409357
`Expression Public 25Q3 HSPA1A`,0.00631676764950607,0.00240594925634296,0.00292397660818713
`Expression Public 25Q3 TNFAIP3`,0.00620311402176794,0.000318142050425515,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 RUNX1`,0.00611796241325381,0.000755587369760598,0.000730994152046784
`Expression Public 25Q3 HIF1A`,0.00609002087767346,0.00256502028155572,0.00292397660818713
`Expression Public 25Q3 JUN`,0.00573903996703551,0.000994193907579734,0.000730994152046784
`Expression Public 25Q3 IGF2`,0.00533871961722592,0.00737691879424163,0.00730994152046784
`Omics Absolute CN Gene Public 24Q4 MAF`,0.00520210653073981,0.00103396166388292,0.000730994152046784
`Expression Public 25Q3 BMPR1A`,0.00512943805118599,0.00135210371430844,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 PTPRD`,0.00496473792453915,0.00153105861767279,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 ETV6`,0.00479407443816985,0.000278374294122326,0.000730994152046784
`Expression Public 25Q3 U2AF1`,0.00473897476366994,0.00469259524377635,0.00657894736842105
`Expression Public 25Q3 RAC2`,0.00461621720534634,0.00210769108406904,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 AKT3`,0.00452611785908082,0.000417561441183489,0.000730994152046784
